run,seed,variable,lead_hours,metric,value
baseline17,0,Q250,6.0,rmse,2.0499973037983905e-05
baseline17,0,Q250,12.0,rmse,3.193748958220702e-05
baseline17,0,Q250,18.0,rmse,3.875016683619672e-05
baseline17,0,Q250,24.0,rmse,4.358914775410418e-05
baseline17,0,Q250,30.0,rmse,4.796363034849542e-05
baseline17,0,Q250,36.0,rmse,5.162626215681397e-05
baseline17,0,Q250,42.0,rmse,5.478028710241937e-05
baseline17,0,Q250,48.0,rmse,5.812706369882391e-05
baseline17,0,Q250,54.0,rmse,6.246673667191898e-05
baseline17,0,Q250,60.0,rmse,6.769668149120953e-05
baseline17,0,Q250,66.0,rmse,7.413077220848728e-05
baseline17,0,Q250,72.0,rmse,8.247169028414667e-05
baseline17,0,Q250,78.0,rmse,9.373738283702029e-05
baseline17,0,Q250,84.0,rmse,0.00010894042184292864
baseline17,0,Q250,90.0,rmse,0.00013043563120140422
baseline17,0,Q250,96.0,rmse,0.00016255777973062154
baseline17,0,Q250,102.0,rmse,0.0002100342697410759
baseline17,0,Q250,108.0,rmse,0.00027546402385734113
baseline17,0,Q250,114.0,rmse,0.00035983947801753255
baseline17,0,Q250,120.0,rmse,0.00046309534569405163
baseline17,0,Q250,6.0,rmse_climatology,4.5706789792078294e-05
baseline17,0,Q250,12.0,rmse_climatology,4.5691090822124113e-05
baseline17,0,Q250,18.0,rmse_climatology,4.5644162139974446e-05
baseline17,0,Q250,24.0,rmse_climatology,4.565867988760338e-05
baseline17,0,Q250,30.0,rmse_climatology,4.5672497144388745e-05
baseline17,0,Q250,36.0,rmse_climatology,4.5695018255061696e-05
baseline17,0,Q250,42.0,rmse_climatology,4.5679180495908e-05
baseline17,0,Q250,48.0,rmse_climatology,4.563604972757267e-05
baseline17,0,Q250,54.0,rmse_climatology,4.5648377450579724e-05
baseline17,0,Q250,60.0,rmse_climatology,4.56624835312721e-05
baseline17,0,Q250,66.0,rmse_climatology,4.5683910900666625e-05
baseline17,0,Q250,72.0,rmse_climatology,4.566623617882509e-05
baseline17,0,Q250,78.0,rmse_climatology,4.5622590540391474e-05
baseline17,0,Q250,84.0,rmse_climatology,4.5636740000417654e-05
baseline17,0,Q250,90.0,rmse_climatology,4.5653268610290015e-05
baseline17,0,Q250,96.0,rmse_climatology,4.5677707409300114e-05
baseline17,0,Q250,102.0,rmse_climatology,4.5664238399945484e-05
baseline17,0,Q250,108.0,rmse_climatology,4.562422462738243e-05
baseline17,0,Q250,114.0,rmse_climatology,4.5640488979823676e-05
baseline17,0,Q250,120.0,rmse_climatology,4.565530884161522e-05
baseline17,0,Q250,6.0,skill,0.5514895460556525
baseline17,0,Q250,12.0,skill,0.3010127574642506
