run,seed,variable,lead_hours,metric,value
baseline17,0,Q250,6.0,rmse,2.7419342062647887e-05
baseline17,0,Q250,12.0,rmse,3.461256271067448e-05
baseline17,0,Q250,18.0,rmse,4.013307618353023e-05
baseline17,0,Q250,24.0,rmse,4.520658305869397e-05
baseline17,0,Q250,30.0,rmse,5.042696221934379e-05
baseline17,0,Q250,36.0,rmse,5.597573910666661e-05
baseline17,0,Q250,42.0,rmse,6.250393773340135e-05
baseline17,0,Q250,48.0,rmse,7.111492222602284e-05
baseline17,0,Q250,54.0,rmse,8.294931871623154e-05
baseline17,0,Q250,60.0,rmse,9.853513873547241e-05
baseline17,0,Q250,66.0,rmse,0.00011846248066965826
baseline17,0,Q250,72.0,rmse,0.000143622692443693
baseline17,0,Q250,78.0,rmse,0.00017430678216936307
baseline17,0,Q250,84.0,rmse,0.00020922136739238344
baseline17,0,Q250,90.0,rmse,0.00024315644405294317
baseline17,0,Q250,96.0,rmse,0.0002700683630600184
baseline17,0,Q250,102.0,rmse,0.00028692202599065614
baseline17,0,Q250,108.0,rmse,0.00029662128285252824
baseline17,0,Q250,114.0,rmse,0.00030480150566076407
baseline17,0,Q250,120.0,rmse,0.00031639828669965015
baseline17,0,Q250,6.0,rmse_climatology,4.5706789792078294e-05
baseline17,0,Q250,12.0,rmse_climatology,4.5691090822124113e-05
baseline17,0,Q250,18.0,rmse_climatology,4.5644162139974446e-05
baseline17,0,Q250,24.0,rmse_climatology,4.565867988760338e-05
baseline17,0,Q250,30.0,rmse_climatology,4.5672497144388745e-05
baseline17,0,Q250,36.0,rmse_climatology,4.5695018255061696e-05
baseline17,0,Q250,42.0,rmse_climatology,4.5679180495908e-05
baseline17,0,Q250,48.0,rmse_climatology,4.563604972757267e-05
baseline17,0,Q250,54.0,rmse_climatology,4.5648377450579724e-05
baseline17,0,Q250,60.0,rmse_climatology,4.56624835312721e-05
baseline17,0,Q250,66.0,rmse_climatology,4.5683910900666625e-05
baseline17,0,Q250,72.0,rmse_climatology,4.566623617882509e-05
baseline17,0,Q250,78.0,rmse_climatology,4.5622590540391474e-05
baseline17,0,Q250,84.0,rmse_climatology,4.5636740000417654e-05
baseline17,0,Q250,90.0,rmse_climatology,4.5653268610290015e-05
baseline17,0,Q250,96.0,rmse_climatology,4.5677707409300114e-05
baseline17,0,Q250,102.0,rmse_climatology,4.5664238399945484e-05
