run,seed,variable,lead_hours,metric,value
multiscale,0,Q250,6.0,rmse,2.0419404243278712e-05
multiscale,0,Q250,12.0,rmse,3.191161890135932e-05
multiscale,0,Q250,18.0,rmse,4.053904738656513e-05
multiscale,0,Q250,24.0,rmse,5.102943142420041e-05
multiscale,0,Q250,30.0,rmse,6.773214733691611e-05
multiscale,0,Q250,36.0,rmse,9.377354530258616e-05
multiscale,0,Q250,42.0,rmse,0.0001323976695182243
multiscale,0,Q250,48.0,rmse,0.0001873446038533203
multiscale,0,Q250,54.0,rmse,0.00026176817815214707
multiscale,0,Q250,60.0,rmse,0.00035501100091263983
multiscale,0,Q250,66.0,rmse,0.00046314246318987983
multiscale,0,Q250,72.0,rmse,0.000582252473599985
multiscale,0,Q250,78.0,rmse,0.00070967101694991
multiscale,0,Q250,84.0,rmse,0.0008434287524049461
multiscale,0,Q250,90.0,rmse,0.0009821939731756535
multiscale,0,Q250,96.0,rmse,0.0011249582842632099
multiscale,0,Q250,102.0,rmse,0.0012710550962816967
multiscale,0,Q250,108.0,rmse,0.001419891609655548
multiscale,0,Q250,114.0,rmse,0.001571101650180309
multiscale,0,Q250,120.0,rmse,0.0017244070491868712
multiscale,0,Q250,6.0,rmse_climatology,4.5706789792078294e-05
multiscale,0,Q250,12.0,rmse_climatology,4.5691090822124113e-05
multiscale,0,Q250,18.0,rmse_climatology,4.5644162139974446e-05
multiscale,0,Q250,24.0,rmse_climatology,4.565867988760338e-05
multiscale,0,Q250,30.0,rmse_climatology,4.5672497144388745e-05
multiscale,0,Q250,36.0,rmse_climatology,4.5695018255061696e-05
multiscale,0,Q250,42.0,rmse_climatology,4.5679180495908e-05
multiscale,0,Q250,48.0,rmse_climatology,4.563604972757267e-05
multiscale,0,Q250,54.0,rmse_climatology,4.5648377450579724e-05
multiscale,0,Q250,60.0,rmse_climatology,4.56624835312721e-05
multiscale,0,Q250,66.0,rmse_climatology,4.5683910900666625e-05
multiscale,0,Q250,72.0,rmse_climatology,4.566623617882509e-05
multiscale,0,Q250,78.0,rmse_climatology,4.5622590540391474e-05
multiscale,0,Q250,84.0,rmse_climatology,4.5636740000417654e-05
multiscale,0,Q250,90.0,rmse_climatology,4.5653268610290015e-05
multiscale,0,Q250,96.0,rmse_climatology,4.5677707409300114e-05
multiscale,0,Q250,102.0,rmse_climatology,4.5664238399945484e-05
multiscale,0,Q250,108.0,rmse_climatology,4.562422462738243e-05
multiscale,0,Q250,114.0,rmse_climatology,4.5640488979823676e-05
multiscale,0,Q250,120.0,rmse_climatology,4.565530884161522e-05
multiscale,0,Q250,6.0,skill,0.5532522774807143
multiscale,0,Q250,12.0,skill,0.3015789658953081
multiscale,0,Q250,18.0,skill,0.11184595168498745
multiscale,0,Q250,24.0,skill,-0.11762827023948241
multiscale,0,Q250,30.0,skill,-0.48299636699933735
multiscale,0,Q250,36.0,skill,-1.052161239528529
multiscale,0,Q250,42.0,skill,-1.8984247983626732
multiscale,0,Q250,48.0,skill,-3.105188879661714
multiscale,0,Q250,54.0,skill,-4.7344464967138205
multiscale,0,Q250,60.0,skill,-6.774675695628981
multiscale,0,Q250,66.0,skill,-9.137977551810732
multiscale,0,Q250,72.0,skill,-11.750174359015135
multiscale,0,Q250,78.0,skill,-14.555254722364142
multiscale,0,Q250,84.0,skill,-17.481354110684226
multiscale,0,Q250,90.0,skill,-20.514209235705675
multiscale,0,Q250,96.0,skill,-23.628168707831538
multiscale,0,Q250,102.0,skill,-26.83480335638783
multiscale,0,Q250,108.0,skill,-30.121440884791877
multiscale,0,Q250,114.0,skill,-33.42341844485599
multiscale,0,Q250,120.0,skill,-36.77013216949392
multiscale,0,Q250,6.0,rmse_persistence,2.0760280103697867e-05
multiscale,0,Q250,12.0,rmse_persistence,3.26374224909776e-05
multiscale,0,Q250,18.0,rmse_persistence,3.967036356410667e-05
multiscale,0,Q250,24.0,rmse_persistence,4.447222436319147e-05
multiscale,0,Q250,30.0,rmse_persistence,4.856373642898637e-05
multiscale,0,Q250,36.0,rmse_persistence,5.1512646077125526e-05
multiscale,0,Q250,42.0,rmse_persistence,5.3367246377888745e-05
multiscale,0,Q250,48.0,rmse_persistence,5.471901281490932e-05
multiscale,0,Q250,54.0,rmse_persistence,5.622956528079027e-05
multiscale,0,Q250,60.0,rmse_persistence,5.7373956902531863e-05
multiscale,0,Q250,66.0,rmse_persistence,5.796698013951411e-05
multiscale,0,Q250,72.0,rmse_persistence,5.833785984563393e-05
multiscale,0,Q250,78.0,rmse_persistence,5.8989679871782624e-05
multiscale,0,Q250,84.0,rmse_persistence,5.950761739439282e-05
multiscale,0,Q250,90.0,rmse_persistence,5.972444294590922e-05
multiscale,0,Q250,96.0,rmse_persistence,5.986007263370627e-05
multiscale,0,Q250,102.0,rmse_persistence,6.030397789844014e-05
multiscale,0,Q250,108.0,rmse_persistence,6.067925890668692e-05
multiscale,0,Q250,114.0,rmse_persistence,6.08448034249218e-05
multiscale,0,Q250,120.0,rmse_persistence,6.099168802986692e-05
multiscale,0,Q250,6.0,acc,0.8954564651517225
multiscale,0,Q250,12.0,acc,0.7379704000591022
multiscale,0,Q250,18.0,acc,0.5828887920637201
multiscale,0,Q250,24.0,acc,0.41919924483517
multiscale,0,Q250,30.0,acc,0.26266837920375263
multiscale,0,Q250,36.0,acc,0.15198707635583442
multiscale,0,Q250,42.0,acc,0.08610624803307249
multiscale,0,Q250,48.0,acc,0.049430470607680035
multiscale,0,Q250,54.0,acc,0.029415253131727485
multiscale,0,Q250,60.0,acc,0.01970576697440207
multiscale,0,Q250,66.0,acc,0.015136076091367549
multiscale,0,Q250,72.0,acc,0.013286841389487583
multiscale,0,Q250,78.0,acc,0.012672369863837655
multiscale,0,Q250,84.0,acc,0.012837132665393691
multiscale,0,Q250,90.0,acc,0.012918408416345896
multiscale,0,Q250,96.0,acc,0.013141707829896014
multiscale,0,Q250,102.0,acc,0.012974520870145853
multiscale,0,Q250,108.0,acc,0.013287471021157429
multiscale,0,Q250,114.0,acc,0.013611020631706161
multiscale,0,Q250,120.0,acc,0.013745635086818175
multiscale,0,Q500,6.0,rmse,0.000258750406125951
multiscale,0,Q500,12.0,rmse,0.0004201409032743255
multiscale,0,Q500,18.0,rmse,0.000558146276241493
multiscale,0,Q500,24.0,rmse,0.0007303116177574025
multiscale,0,Q500,30.0,rmse,0.000998556858803295
multiscale,0,Q500,36.0,rmse,0.0014112378813290027
multiscale,0,Q500,42.0,rmse,0.0020182512538343875
multiscale,0,Q500,48.0,rmse,0.002876249220830052
multiscale,0,Q500,54.0,rmse,0.004025467564713702
multiscale,0,Q500,60.0,rmse,0.005453333410521697
multiscale,0,Q500,66.0,rmse,0.007110151881271566
multiscale,0,Q500,72.0,rmse,0.008938477459244849
multiscale,0,Q500,78.0,rmse,0.010893018730440782
multiscale,0,Q500,84.0,rmse,0.01294155965055281
multiscale,0,Q500,90.0,rmse,0.015064648909628829
multiscale,0,Q500,96.0,rmse,0.01725019367646691
multiscale,0,Q500,102.0,rmse,0.019490280794631425
multiscale,0,Q500,108.0,rmse,0.0217788933689704
multiscale,0,Q500,114.0,rmse,0.024112750483197717
multiscale,0,Q500,120.0,rmse,0.026487981757746627
multiscale,0,Q500,6.0,rmse_climatology,0.0006831534150562498
multiscale,0,Q500,12.0,rmse_climatology,0.0006830466695115641
multiscale,0,Q500,18.0,rmse_climatology,0.0006827280287992915
multiscale,0,Q500,24.0,rmse_climatology,0.0006827645634358622
multiscale,0,Q500,30.0,rmse_climatology,0.0006829591289369246
multiscale,0,Q500,36.0,rmse_climatology,0.0006830779143655346
multiscale,0,Q500,42.0,rmse_climatology,0.0006829774899694773
multiscale,0,Q500,48.0,rmse_climatology,0.0006826571860239166
multiscale,0,Q500,54.0,rmse_climatology,0.000682691598735421
multiscale,0,Q500,60.0,rmse_climatology,0.0006828771219046792
multiscale,0,Q500,66.0,rmse_climatology,0.0006829823064687919
multiscale,0,Q500,72.0,rmse_climatology,0.0006828699661071477
multiscale,0,Q500,78.0,rmse_climatology,0.0006825198970326708
multiscale,0,Q500,84.0,rmse_climatology,0.0006825740151594135
multiscale,0,Q500,90.0,rmse_climatology,0.0006827644177044798
multiscale,0,Q500,96.0,rmse_climatology,0.0006828774480533256
multiscale,0,Q500,102.0,rmse_climatology,0.0006827949940516311
multiscale,0,Q500,108.0,rmse_climatology,0.0006824462260645012
multiscale,0,Q500,114.0,rmse_climatology,0.0006825103067809391
multiscale,0,Q500,120.0,rmse_climatology,0.0006826688227663783
multiscale,0,Q500,6.0,skill,0.6212411437559076
multiscale,0,Q500,12.0,skill,0.3849016150320129
multiscale,0,Q500,18.0,skill,0.18247639953628303
multiscale,0,Q500,24.0,skill,-0.06963901887682966
multiscale,0,Q500,30.0,skill,-0.4621033916884911
multiscale,0,Q500,36.0,skill,-1.0659984046473046
multiscale,0,Q500,42.0,skill,-1.9550772660524793
multiscale,0,Q500,48.0,skill,-3.213314207651634
multiscale,0,Q500,54.0,skill,-4.896465654726451
multiscale,0,Q500,60.0,skill,-6.985819462381859
multiscale,0,Q500,66.0,skill,-9.410448138888142
multiscale,0,Q500,72.0,skill,-12.089574740269557
multiscale,0,Q500,78.0,skill,-14.960001719802397
multiscale,0,Q500,84.0,skill,-17.95993601152593
multiscale,0,Q500,90.0,skill,-21.064197428854946
multiscale,0,Q500,96.0,skill,-24.261038749547122
multiscale,0,Q500,102.0,skill,-27.5448501591645
multiscale,0,Q500,108.0,skill,-30.912980887247187
multiscale,0,Q500,114.0,skill,-34.32950380914472
multiscale,0,Q500,120.0,skill,-37.80063198200468
multiscale,0,Q500,6.0,rmse_persistence,0.0002671062627101212
multiscale,0,Q500,12.0,rmse_persistence,0.0004300565285590172
multiscale,0,Q500,18.0,rmse_persistence,0.0005365717738250677
multiscale,0,Q500,24.0,rmse_persistence,0.0006126919015864899
multiscale,0,Q500,30.0,rmse_persistence,0.0006747232489548922
multiscale,0,Q500,36.0,rmse_persistence,0.0007208891813050831
multiscale,0,Q500,42.0,rmse_persistence,0.0007538816619024682
multiscale,0,Q500,48.0,rmse_persistence,0.000779311012483089
multiscale,0,Q500,54.0,rmse_persistence,0.0008025592329312368
multiscale,0,Q500,60.0,rmse_persistence,0.0008207428494166893
multiscale,0,Q500,66.0,rmse_persistence,0.0008335653956813164
multiscale,0,Q500,72.0,rmse_persistence,0.0008435102574007775
multiscale,0,Q500,78.0,rmse_persistence,0.0008544538564836711
multiscale,0,Q500,84.0,rmse_persistence,0.0008631982597368683
multiscale,0,Q500,90.0,rmse_persistence,0.0008691402172267167
multiscale,0,Q500,96.0,rmse_persistence,0.0008740624318818577
multiscale,0,Q500,102.0,rmse_persistence,0.0008813263062965539
multiscale,0,Q500,108.0,rmse_persistence,0.0008875144978147898
multiscale,0,Q500,114.0,rmse_persistence,0.0008922101743364912
multiscale,0,Q500,120.0,rmse_persistence,0.0008962220554006414
multiscale,0,Q500,6.0,acc,0.9253465676028255
multiscale,0,Q500,12.0,acc,0.7993440726229672
multiscale,0,Q500,18.0,acc,0.6537633329415452
multiscale,0,Q500,24.0,acc,0.48499166961140117
multiscale,0,Q500,30.0,acc,0.31582881321858053
multiscale,0,Q500,36.0,acc,0.188686277859385
multiscale,0,Q500,42.0,acc,0.10910047609336819
multiscale,0,Q500,48.0,acc,0.06262238355471252
multiscale,0,Q500,54.0,acc,0.03590992359992859
multiscale,0,Q500,60.0,acc,0.021620011100728944
multiscale,0,Q500,66.0,acc,0.013008607021912054
multiscale,0,Q500,72.0,acc,0.008854656196096948
multiscale,0,Q500,78.0,acc,0.006671520207131342
multiscale,0,Q500,84.0,acc,0.0051923078720060465
multiscale,0,Q500,90.0,acc,0.004351928058571168
multiscale,0,Q500,96.0,acc,0.0036289929751993407
multiscale,0,Q500,102.0,acc,0.0033151138455758014
multiscale,0,Q500,108.0,acc,0.0035987069745932404
multiscale,0,Q500,114.0,acc,0.003330980842862089
multiscale,0,Q500,120.0,acc,0.003159642917426558
multiscale,0,Q850,6.0,rmse,0.000644648476628698
multiscale,0,Q850,12.0,rmse,0.001069843935554705
multiscale,0,Q850,18.0,rmse,0.001494455597925628
multiscale,0,Q850,24.0,rmse,0.002075322298742282
multiscale,0,Q850,30.0,rmse,0.002971480105037793
multiscale,0,Q850,36.0,rmse,0.004279980865246121
multiscale,0,Q850,42.0,rmse,0.006157778975232014
multiscale,0,Q850,48.0,rmse,0.00882266065342657
multiscale,0,Q850,54.0,rmse,0.012442540107582735
multiscale,0,Q850,60.0,rmse,0.016995068944446197
multiscale,0,Q850,66.0,rmse,0.022347683386117003
multiscale,0,Q850,72.0,rmse,0.028356054425724087
multiscale,0,Q850,78.0,rmse,0.03488839895246666
multiscale,0,Q850,84.0,rmse,0.04183231625028278
multiscale,0,Q850,90.0,rmse,0.04910705518052821
multiscale,0,Q850,96.0,rmse,0.056651356881297375
multiscale,0,Q850,102.0,rmse,0.06442258464545961
multiscale,0,Q850,108.0,rmse,0.07238564093984683
multiscale,0,Q850,114.0,rmse,0.08051412045705887
multiscale,0,Q850,120.0,rmse,0.08878588214359738
multiscale,0,Q850,6.0,rmse_climatology,0.00144015335484439
multiscale,0,Q850,12.0,rmse_climatology,0.0014408812381669213
multiscale,0,Q850,18.0,rmse_climatology,0.0014406939546006306
multiscale,0,Q850,24.0,rmse_climatology,0.001440393985085661
multiscale,0,Q850,30.0,rmse_climatology,0.0014403996060056148
multiscale,0,Q850,36.0,rmse_climatology,0.0014403016356245746
multiscale,0,Q850,42.0,rmse_climatology,0.0014410309380099588
multiscale,0,Q850,48.0,rmse_climatology,0.0014408364218990452
multiscale,0,Q850,54.0,rmse_climatology,0.001440507765892772
multiscale,0,Q850,60.0,rmse_climatology,0.001440538116462105
multiscale,0,Q850,66.0,rmse_climatology,0.0014404241967345079
multiscale,0,Q850,72.0,rmse_climatology,0.0014410925696179005
