variable,lead_hours,mean,std,seeds,real,run
Q250,6.0,-3.6525068168418393,0.3578276512650144,3,True,multiscale
Q250,12.0,-5.897729049103614,0.4206673326289067,3,True,multiscale
Q250,18.0,-6.618974980922373,0.43286615499349684,3,True,multiscale
Q250,24.0,-7.100692441720661,0.4161823066897437,3,True,multiscale
Q250,30.0,-7.876436110206785,0.40547035595046327,3,True,multiscale
Q250,36.0,-8.384758534185714,0.40533800354352717,3,True,multiscale
Q250,42.0,-8.500582017973622,0.38357961998176454,3,True,multiscale
Q250,48.0,-8.610156782857509,0.37798276710701667,3,True,multiscale
Q250,54.0,-8.954383578586407,0.38375254551738885,3,True,multiscale
Q250,60.0,-9.077874737835684,0.3765115159920759,3,True,multiscale
Q250,66.0,-8.760894359503155,0.3609374782813298,3,True,multiscale
Q250,72.0,-8.424359155483087,0.33864890140214937,3,True,multiscale
Q250,78.0,-8.353726599463055,0.34799926216446153,3,True,multiscale
Q250,84.0,-8.089857058740018,0.3294242187366784,3,True,multiscale
Q250,90.0,-7.497289339968593,0.29898295457073487,3,True,multiscale
Q250,96.0,-6.8589908703096265,0.27292283881470286,3,True,multiscale
Q250,102.0,-6.475771545042334,0.26297572773807937,3,True,multiscale
Q250,108.0,-5.993738720873055,0.22001227288882547,3,True,multiscale
Q250,114.0,-5.204289170254832,0.20262766002838659,3,True,multiscale
Q250,120.0,-4.408166216810849,0.19186665646304374,3,True,multiscale
Q500,6.0,-5.566966398138333,0.4903102822851948,3,True,multiscale
Q500,12.0,-7.1043167846343,0.617197032966156,3,True,multiscale
Q500,18.0,-7.619323231439499,0.6587983358277504,3,True,multiscale
Q500,24.0,-8.03981040127868,0.6684794551938253,3,True,multiscale
Q500,30.0,-8.430653200704844,0.6633327845086467,3,True,multiscale
Q500,36.0,-8.568931510096078,0.6225177545680487,3,True,multiscale
Q500,42.0,-8.521917887824218,0.5680423817881485,3,True,multiscale
Q500,48.0,-8.454065259105912,0.5383575375439686,3,True,multiscale
Q500,54.0,-8.426068064663808,0.5411178249198015,3,True,multiscale
Q500,60.0,-8.255849883450912,0.5325650542797368,3,True,multiscale
Q500,66.0,-7.919098357606714,0.5087394835619717,3,True,multiscale
Q500,72.0,-7.631892122671331,0.5188042488989536,3,True,multiscale
Q500,78.0,-7.3893796704634696,0.5717929192169944,3,True,multiscale
Q500,84.0,-7.010798642943655,0.6371679665266696,3,True,multiscale
Q500,90.0,-6.44427081355956,0.7266344581714581,3,True,multiscale
Q500,96.0,-5.844214039171638,0.861316705726553,3,True,multiscale
Q500,102.0,-5.356296056154382,0.9995039460886863,3,True,multiscale
Q500,108.0,-4.7660700178256485,1.1547001068947673,3,True,multiscale
Q500,114.0,-3.9760045318159016,1.3676184168273287,3,True,multiscale
Q500,120.0,-3.132979068899113,1.6223869785249376,3,False,multiscale
Q850,6.0,-2.5144456209879995,0.46236448181268675,3,True,multiscale
Q850,12.0,-5.417372476046473,0.4977814964498972,3,True,multiscale
Q850,18.0,-7.157529085134109,0.5577197321624598,3,True,multiscale
Q850,24.0,-8.272543389921507,0.5593807789832727,3,True,multiscale
Q850,30.0,-9.10832611304858,0.5522826071628917,3,True,multiscale
Q850,36.0,-9.438538972702483,0.49853408856196274,3,True,multiscale
Q850,42.0,-9.377251154259561,0.4892063435451427,3,True,multiscale
Q850,48.0,-9.036512966489559,0.4871309661551383,3,True,multiscale
Q850,54.0,-8.867135074990621,0.47815864705234934,3,True,multiscale
Q850,60.0,-8.404976910465157,0.48944309140147757,3,True,multiscale
Q850,66.0,-7.688210903021271,0.5447706167599198,3,True,multiscale
Q850,72.0,-6.67789671818604,0.6259800338986609,3,True,multiscale
Q850,78.0,-5.971555243910754,0.6344554241701508,3,True,multiscale
Q850,84.0,-4.955314418675656,0.7069033210587797,3,True,multiscale
Q850,90.0,-3.6685883813000095,0.8388168717521888,3,True,multiscale
Q850,96.0,-2.05944936603315,1.0186217008899041,3,True,multiscale
Q850,102.0,-0.8858324983873751,1.084358791504563,3,False,multiscale
Q850,108.0,0.636429349915386,1.1645225282848721,3,False,multiscale
Q850,114.0,2.42010127685957,1.3234255872722702,3,False,multiscale
Q850,120.0,4.583571313250407,1.5805472469445803,3,True,multiscale
T250,6.0,-4.078056372421386,1.108266753190804,3,True,multiscale
T250,12.0,-4.782151077442502,0.8545063333039504,3,True,multiscale
T250,18.0,-4.944074079546265,0.752944180644831,3,True,multiscale
T250,24.0,-5.15709911856871,0.7131480417203399,3,True,multiscale
T250,30.0,-5.216859327659574,0.7288966595514832,3,True,multiscale
T250,36.0,-5.159724810811622,0.7961238903147123,3,True,multiscale
T250,42.0,-4.9772438231570115,0.8522146067303035,3,True,multiscale
T250,48.0,-4.582070503432688,0.893012662969779,3,True,multiscale
T250,54.0,-3.997298651979508,0.9429733292929576,3,True,multiscale
T250,60.0,-3.2310698511793103,1.011750137100682,3,True,multiscale
T250,66.0,-2.2662485248801048,1.1417431792068549,3,False,multiscale
T250,72.0,-1.0494677045003677,1.3436399718467296,3,False,multiscale
T250,78.0,0.4012721085505541,1.6588846747925374,3,False,multiscale
T250,84.0,2.0982103878115725,2.068545958263412,3,False,multiscale
T250,90.0,4.022779160076447,2.600314954052081,3,False,multiscale
T250,96.0,6.15743651612213,3.271761929519449,3,False,multiscale
T250,102.0,8.43758600563961,4.042145680575736,3,True,multiscale
T250,108.0,10.958780308507633,4.926152737143781,3,True,multiscale
T250,114.0,13.789119324780891,5.924078050285698,3,True,multiscale
T250,120.0,16.82903404225043,7.079130393156044,3,True,multiscale
T2M,6.0,2.5921588445872774,1.5986447332781937,3,False,multiscale
T2M,12.0,1.9847035164312097,2.8882001474800676,3,False,multiscale
T2M,18.0,6.535702209552176,2.4809421077976146,3,True,multiscale
T2M,24.0,18.533577589621284,0.47915528820690495,3,True,multiscale
T2M,30.0,9.701270937701027,2.2877687127078077,3,True,multiscale
T2M,36.0,6.138660549353427,3.498503593917151,3,False,multiscale
T2M,42.0,12.445486655414124,3.2484420117403148,3,True,multiscale
T2M,48.0,22.961483651770294,1.9550270269668857,3,True,multiscale
T2M,54.0,15.947125295109878,2.8273472527533063,3,True,multiscale
T2M,60.0,12.940973927321608,3.6302271612291945,3,True,multiscale
T2M,66.0,20.025384332239938,3.4499583342222793,3,True,multiscale
T2M,72.0,30.53818632612922,2.6801214598690364,3,True,multiscale
T2M,78.0,25.170619144124455,3.3382520137152274,3,True,multiscale
T2M,84.0,23.048949934448427,4.020218131812379,3,True,multiscale
T2M,90.0,31.176256599627084,4.146527407148501,3,True,multiscale
T2M,96.0,42.34886691925987,3.8538090493240995,3,True,multiscale
T2M,102.0,38.0684431600663,4.411177473338217,3,True,multiscale
T2M,108.0,36.767110205472086,5.133575155003961,3,True,multiscale
T2M,114.0,46.042346674571576,5.554319137947001,3,True,multiscale
T2M,120.0,58.10348018663313,5.502952084352008,3,True,multiscale
T500,6.0,4.344382954566203,2.1725560862460886,3,False,multiscale
T500,12.0,3.0744450068046993,2.073353283827567,3,False,multiscale
T500,18.0,2.3852074108728707,2.066495448246368,3,False,multiscale
T500,24.0,1.5140010341334988,1.9957011359583878,3,False,multiscale
T500,30.0,0.7937270317332059,1.913626349058852,3,False,multiscale
T500,36.0,0.594519114619305,1.9135111733763288,3,False,multiscale
T500,42.0,0.8597180039715232,1.9874616014931665,3,False,multiscale
T500,48.0,1.5184624165036749,2.1257339768768535,3,False,multiscale
T500,54.0,2.3632556804082507,2.310498530375497,3,False,multiscale
T500,60.0,3.431753148826625,2.542623576628227,3,False,multiscale
T500,66.0,4.7637173776424255,2.8446457145117163,3,False,multiscale
T500,72.0,6.317042953694856,3.2077265686113563,3,False,multiscale
T500,78.0,7.9434554555077845,3.5700483394183475,3,True,multiscale
T500,84.0,9.730641795161553,3.993614793012369,3,True,multiscale
T500,90.0,11.794361633656363,4.482238302427855,3,True,multiscale
T500,96.0,14.109455864943477,5.049634820067154,3,True,multiscale
T500,102.0,16.49823785590938,5.634381837107819,3,True,multiscale
T500,108.0,19.06273526827906,6.273973856351948,3,True,multiscale
T500,114.0,21.967885683368895,7.010849775748134,3,True,multiscale
T500,120.0,25.126304408140665,7.79331581014293,3,True,multiscale
T850,6.0,5.165415099557701,1.3562117890606977,3,True,multiscale
T850,12.0,5.023857071397052,1.2344929731921506,3,True,multiscale
T850,18.0,5.421543863328298,1.3944712131060744,3,True,multiscale
T850,24.0,5.284511907102131,1.5916332905919797,3,True,multiscale
T850,30.0,4.300088138877652,1.6731720944185555,3,True,multiscale
T850,36.0,4.377827947548911,1.8104443160708343,3,True,multiscale
T850,42.0,5.246652434551234,2.022823298149683,3,True,multiscale
T850,48.0,6.3331876787045545,2.2606305463050838,3,True,multiscale
