lead_days,mean,min,max,std,count,variable,model
0.25,184.05346819235342,183.77164308460655,184.36609643264617,0.29842138073513275,3.0,Z500,baseline17
0.5,269.76020690562,269.17828573239626,270.2651296910104,0.5474979556041107,3.0,Z500,baseline17
0.75,383.3264410060321,382.2532245108055,383.9002464802412,0.9301767938871767,3.0,Z500,baseline17
1.0,460.2120399078869,458.8888002222239,461.04178142659424,1.158225948243451,3.0,Z500,baseline17
1.25,549.7260995145617,548.2068700885249,550.586117947358,1.3195167462550372,3.0,Z500,baseline17
1.5,610.4060750055959,608.7640407776986,611.3241388626493,1.4253509653895542,3.0,Z500,baseline17
1.75,674.7542313594412,672.9030437499138,675.9503867239184,1.6258460049602763,3.0,Z500,baseline17
2.0,717.0756901371013,715.1366479072977,718.3661436562032,1.7096523578748326,3.0,Z500,baseline17
2.25,766.1304565817433,763.9616114116869,767.5220530769757,1.9032269543772273,3.0,Z500,baseline17
2.5,797.3214526340207,794.933902287364,798.6804597006923,2.074270732557214,3.0,Z500,baseline17
2.75,833.601065710443,830.8260912028961,835.1570453881623,2.4090978259668794,3.0,Z500,baseline17
3.0,855.677150283439,852.7173251696853,857.825000453915,2.6488797978892604,3.0,Z500,baseline17
3.25,886.2215506077235,882.9555956953371,888.8215517856648,2.989143856646742,3.0,Z500,baseline17
3.5,904.8507661029071,901.292367498276,907.9796960659182,3.364286451612331,3.0,Z500,baseline17
3.75,930.2384851330377,926.2140597685838,933.9241208652992,3.8661795535039625,3.0,Z500,baseline17
4.0,945.014048880585,940.6521726807042,949.2555377615196,4.302945794263589,3.0,Z500,baseline17
4.25,968.8126729070177,963.9527178179196,973.4054222253916,4.732013772876339,3.0,Z500,baseline17
4.5,982.8558056696788,977.4631597216386,987.8295334005996,5.19586808603143,3.0,Z500,baseline17
4.75,1003.8104105822408,997.7213407068764,1008.9361848067424,5.669138905451412,3.0,Z500,baseline17
5.0,1015.6419305435996,1008.9861681848084,1020.7782984167364,6.04110946382909,3.0,Z500,baseline17
0.25,157.5953311234189,155.95569062612847,158.4174233250635,1.4199721412888748,3.0,Z500,baseline17_smooth
0.5,213.45044098244196,213.10695063298624,213.8159604917741,0.3550178979688614,3.0,Z500,baseline17_smooth
0.75,295.70508655674286,293.44485365337385,297.36392088760044,2.0275680454330307,3.0,Z500,baseline17_smooth
1.0,343.8239826466292,342.1805047684579,344.9018782721949,1.4461607448887515,3.0,Z500,baseline17_smooth
1.25,410.43340674882234,407.21559216983087,413.09478046873977,2.9788309092229426,3.0,Z500,baseline17_smooth
1.5,454.80335483565455,452.3886048016058,457.0889407706852,2.3528285273074308,3.0,Z500,baseline17_smooth
1.75,507.81838358160576,504.1481862842572,511.31925469034417,3.5885315993880686,3.0,Z500,baseline17_smooth
2.0,545.2360169462862,542.2389334388682,547.865022996787,2.8310478076409855,3.0,Z500,baseline17_smooth
2.25,592.6893854183974,588.5711541618808,596.3397419825449,3.9053705621441055,3.0,Z500,baseline17_smooth
2.5,627.9106402457996,624.6053090069369,630.7236250190282,3.0887297530894746,3.0,Z500,baseline17_smooth
2.75,669.082988202878,664.9344713600583,672.5752530389187,3.8624326775108,3.0,Z500,baseline17_smooth
3.0,699.8520228820316,696.3513025626879,702.2442991000156,3.0989253446345257,3.0,Z500,baseline17_smooth
3.25,737.7328831684291,733.2128468443365,740.5911254687053,3.9599139381934334,3.0,Z500,baseline17_smooth
3.5,766.5121399532633,762.725567747219,768.7139459497658,3.2937488259373082,3.0,Z500,baseline17_smooth
3.75,799.6274223000588,795.2310060575176,802.5647756460914,3.8784910076663675,3.0,Z500,baseline17_smooth
4.0,824.5098759076087,820.6089667760492,828.418212733644,3.904628277382721,3.0,Z500,baseline17_smooth
4.25,854.849220621721,850.0750761980712,859.6380662763136,4.781511989296263,3.0,Z500,baseline17_smooth
4.5,877.8385609627609,873.4589190347344,883.6556533972239,5.2481468999670815,3.0,Z500,baseline17_smooth
4.75,904.4797687278705,899.4341632807523,911.2700250222204,6.1077623336903315,3.0,Z500,baseline17_smooth
5.0,924.2944251577737,919.8038214987556,932.1787278107652,6.849997898103701,3.0,Z500,baseline17_smooth
0.25,208.18283822676517,204.55349237735092,210.36798200488468,3.164863681775797,3.0,Z500,multiscale
0.5,307.81913336197414,302.08610154017316,310.800200064509,4.966272474019237,3.0,Z500,multiscale
0.75,422.21271718759857,415.90525768319793,426.11676660941254,5.513711423020737,3.0,Z500,multiscale
1.0,499.9642659318385,493.88960800723265,504.2417016032942,5.404994572228355,3.0,Z500,multiscale
1.25,587.5168605892129,581.3841133584283,592.3528260596521,5.598160124627629,3.0,Z500,multiscale
1.5,650.4797504426564,644.5924560548467,655.429631594538,5.479064801650996,3.0,Z500,multiscale
1.75,716.9810163642511,710.4725771569938,722.401671337832,6.038483079226362,3.0,Z500,multiscale
2.0,765.3154382304483,758.5894652709044,770.4824200588649,6.097822021617101,3.0,Z500,multiscale
2.25,820.0913759568977,812.0238497320986,825.770884580178,7.177897521381144,3.0,Z500,multiscale
2.5,861.1700688322202,851.9792540280242,866.977932510181,8.051295410966425,3.0,Z500,multiscale
2.75,907.0535011976499,895.6049983126292,913.2950603021573,9.92818064644304,3.0,Z500,multiscale
3.0,942.9253827568065,929.6255968580188,950.532380890171,11.557650239057196,3.0,Z500,multiscale
3.25,987.1050726034472,970.6327178739956,997.5943528178884,14.442310244592425,3.0,Z500,multiscale
3.5,1024.1473707728683,1004.7173026101436,1037.8055132708669,17.282759200759582,3.0,Z500,multiscale
3.75,1068.06873572189,1044.464485194508,1085.7819029913867,21.279353839202013,3.0,Z500,multiscale
4.0,1106.656573923835,1079.373810830708,1128.9560386695134,25.163947945017803,3.0,Z500,multiscale
4.25,1154.190093063267,1122.055623532183,1181.4527291485529,29.99675165319148,3.0,Z500,multiscale
4.5,1198.041545613104,1160.894165999123,1231.0052551338115,35.242283219168286,3.0,Z500,multiscale
4.75,1248.9991339424425,1205.9000025956684,1288.1376893200647,41.26165169925403,3.0,Z500,multiscale
5.0,1297.0995375474106,1248.1597165820715,1343.027208595429,47.50542122294492,3.0,Z500,multiscale
